Property, Num Usages, Num Boolean Usages, %Boolean, Known Property, Is Set
GET_OHIP_INFO,0,0,,true,true
USE_NEW_PATIENT_CONSENT_MODULE,1,1,100,true,true
rx_enhance,1,0,0,true,false
faxEnable,3,3,100,true,false
admin.hph,0,0,,true,false
born_eform_ndds15m,1,0,0,true,false
mcedt.last.downloadedID.file,2,0,0,true,false
batch_pdf_provider_no,1,0,0,false,
caisi.new_client.strict_search,1,0,0,true,false
label.3no,0,0,,true,false
mcedt.service.id,5,0,0,true,false
OMD_stored,1,0,0,false,
enable_wait_list_email_notifications,2,2,100,true,false
clinic_view,0,0,,true,false
password_min_length,0,0,,true,false
hl7_a04_sent_dir,1,0,0,false,
lab_req_provider,4,2,50,false,
wait_list_email_notification_period,2,0,0,true,false
hibernate.generate_statistics,0,0,,true,false
MEASUREMENT_DS_DIRECTORY,8,0,0,false,
TOMCAT_TRUSTSTORE_PASSWORD,3,0,0,true,false
ldap.baseDn,1,0,0,true,false
allowMultipleSameDayGroupAppt,0,0,,true,true
security_site_control,1,1,100,false,
olis_truststore_password,1,0,0,false,
hsfo.webServiceURL,1,0,0,false,
oscar_myoscar_clinic_component_url,0,0,,true,false
schedule_templatecode,0,0,,true,true
spire_server_user,1,0,0,true,false
CML_UPLOAD_KEY,1,0,0,false,
HOME_DIR,14,0,0,false,
ONEDT_OUTBOX,11,0,0,true,false
olis_simulate,1,1,100,true,false
hospital_view,1,0,0,false,
CONSULT_PRINT_PDF,1,1,100,false,
PGP_CMD,1,0,0,true,false
buildDateTime,4,0,0,true,false
mcedt.service.conformanceKey,2,0,0,true,false
eform_generator_indivica_signature_enabled,0,0,,true,false
form_intake_program_access_service_id,1,0,0,true,false
DEMOGRAPHIC_PATIENT_CLINIC_STATUS,0,0,,true,true
OMD_HRM_DECRYPTION_KEY,2,0,0,false,
db_type,3,0,0,true,false
enableFax,1,1,100,false,
OMD_log_directory,1,0,0,false,
QR_CODE_IMAGE_SCALE_FACTOR,1,0,0,true,false
label.2no,0,0,,true,false
health_tracker,1,1,100,true,false
orn.email.subject,1,0,0,false,
pathnet_username,1,0,0,false,
myoscar_server_base_url,1,0,0,true,false
multioffice.formalize.provider.id,1,1,100,true,false
buildtag,1,0,0,true,false
labs.hide_old_grid_display,1,1,100,false,
with_admin_option,1,1,100,false,
SPIRE_CLIENT_ENABLED,1,1,100,false,
util.erx.clinic_locale,1,0,0,true,false
eaaps.pass,1,0,0,false,
RX_INTERACTION_LOCAL_DRUGREF_REGIONAL_IDENTIFIER,1,1,100,true,false
ENABLE_ACCOUNT_LOCKING,1,1,100,false,
DEMOGRAPHIC_PATIENT_ROSTERING,0,0,,true,true
default_view,6,0,0,true,false
moh_file_management_enabled,1,1,100,true,false
clinicSatelliteCity,1,0,0,false,
province_names,3,2,66,false,
save_as_xml,1,0,0,true,true
born18m_sftp_username,0,0,,true,false
referral_no.msg,0,0,,true,false
redirectstudysite_default_username,0,0,,true,false
consultation_signature_enabled,1,1,100,true,true
label.top,0,0,,true,false
redirectstudysite_default_baseURL,0,0,,true,false
MYDRUGREF_DS,0,0,,true,true
print.includeMRP,1,1,100,true,true
vendorCommonName,3,0,0,true,false
eform_generator_indivica_print_enabled,0,0,,true,false
LOGINTEST,1,1,100,false,
consultation_indivica_attachment_enabled,3,3,100,true,false
inPatient,0,0,,true,false
appt_formview_name2,1,0,0,false,
DX_QUICK_LIST_BILLING_REVIEW,0,0,,true,true
loginlogo,0,0,,true,false
label.5no,0,0,,true,false
spire_client_run_frequency,1,0,0,false,
login_max_duration,2,0,0,true,false
form_intake_program_cash_service_id,1,0,0,true,false
tomcat_path,0,0,,true,false
HL7_RECEIVING_APPLICATION,1,0,0,false,
hcv.service.url,1,0,0,true,false
util.erx.software,1,0,0,true,false
odb_formulary_file,2,0,0,false,
hsfo.userID,1,0,0,false,
hcv.keystore.user,1,0,0,true,false
multioffice.formalize.doctor.minimum.provider.id,0,0,,true,false
BILLING_SUPERUSER,0,0,,true,false
util.erx.synchronize_interval,1,0,0,true,false
born18m_upload_hour,1,0,0,true,false
INTEGRATOR_LOGGING_ENABLED,1,1,100,true,false
tickler_email_subject,1,0,0,false,
ldap.authorization,0,0,,true,false
fax_file_location,3,0,0,false,
onare_labreqver,2,0,0,true,false
eaaps.host,1,0,0,false,
email.connection_security,0,0,,true,false
mrp_model,2,2,100,true,true
decision_support_dir,1,0,0,false,
softwareCommonName,3,0,0,true,false
DOCUMENT_DIR,93,3,3,false,
DEMOGRAPHIC_WAITING_LIST,0,0,,true,true
born_eform_ndds6m,1,0,0,true,false
billregion,21,9,42,true,true
label.height,0,0,,true,false
hsfo2.userID,1,0,0,false,
caisi.registration_intake.updateMRPOnSave,1,0,0,true,true
born_eform_ndds6y,1,0,0,true,false
CBI_WS_URL,1,0,0,true,false
MYOSCAR_SYMPTOM_CHECKLIST_REPORT_TEMPLATE_NAME,0,0,,true,false
DEMOGRAPHIC_PATIENT_HEALTH_CARE_TEAM,1,0,0,true,true
search.searchName.addLeadingWildcard,0,0,,true,false
AbandonOldChart,10,10,100,false,
db_max_wait,0,0,,true,false
PING-SERVER,1,0,0,false,
INVOICE_DIR,1,0,0,true,false
born_eform_ndds9m,1,0,0,true,false
clinicSatellitePhone,1,0,0,false,
ckd_flowsheet,1,0,0,false,
enable_rx_watermark,0,0,,true,false
mcedt.mailbox.enabled,0,0,,true,true
osdsfRPCURL,3,0,0,false,
TOMCAT_KEYSTORE_FILE,3,0,0,true,false
CBI_WS_CLIENT_QNAME_URL,1,0,0,true,false
resident_review,1,1,100,false,
E2E_DIFF,1,0,0,false,
security.token.manager,1,0,0,false,
orn.email.from,1,0,0,false,
PGP_BIN,1,0,0,true,false
label.4no,0,0,,true,false
dxResearch_coding_sys,2,0,0,true,false
hcv.keystore.pass,1,0,0,true,false
OMD_hrm,1,0,0,false,
rx_strict_med_term,0,0,,true,false
rx.enable_internal_dispensing,0,0,,true,false
PHR,4,4,100,false,
INTEGRATOR_SLEEP_ON_ERROR,0,0,,true,false
born18m_eform_report18m,6,0,0,true,false
olis_response_schema,3,1,33,false,
mcedt.enabled,0,0,,true,false
CASEMANAGEMENT,1,0,0,true,false
Spire_LABS,1,0,0,false,
appt_formview_name,1,0,0,false,
confidentiality_statement.v2,0,0,,true,false
confidentiality_statement.v1,0,0,,true,false
ocan.iar.password,1,0,0,false,
decision_support_files,1,0,0,false,
displayAlertsOnScheduleScreen,0,0,,true,false
PGP_ENV,1,0,0,true,false
hsfo.xmlVersionDate,1,0,0,false,
web_service_client.connection_timeout_ms,1,0,0,true,false
log_accesses_of_program,1,1,100,false,
AdtA09Handler.CHECK_IN_EARLY_ALLOWANCE,0,0,,true,false
eform_databaseap_config,1,0,0,false,
LAB_NOMATCH_NAMES,2,2,100,true,true
hsfo2.generategraph.dir,1,0,0,false,
Vendor_Product,1,0,0,true,false
wait_list_email_notification_program_ids,1,0,0,true,false
util.erx.clinic_facility_id,3,0,0,true,false
logintext,0,0,,true,false
hibernate.dialect,1,0,0,true,false
hhs.emr.handler.accession.use_order_number,1,0,0,false,
SOB_CHECKALL,0,0,,true,true
inactive_statuses,3,0,0,true,false
eaaps.clinic,2,0,0,false,
oscarClinic,1,1,100,false,
clinicaid_api_key,1,0,0,true,false
host,0,0,,true,false
Support_Contact,1,0,0,true,false
lab.hhsemr.filter_ordering_provider,1,1,100,false,
HELP_SEARCH_URL,1,0,0,true,false
mcedt.service.url,2,0,0,true,false
oscarMeasurement_css_upload_path,2,0,0,false,
HL7TEXT_LABS,7,1,14,true,false
WCB_FORM_REQUIRED_CODES,1,0,0,true,false
clinic_logo,1,0,0,false,
born_sftp_remote_dir,1,0,0,true,false
versionDate,0,0,,true,false
HL7_A04_GENERATION,1,1,100,true,false
TORONTO_RFQ,1,1,100,true,false
softwareName,3,0,0,true,false
password_min_groups,0,0,,true,false
ckd_notification_scheme,5,4,80,true,false
drugref_url,1,0,0,true,false
password_group_digits,0,0,,true,false
eaaps.ws.user,1,0,0,false,
INTEGRATOR_THROTTLE_DELAY,0,0,,true,false
LAB_TYPES,2,1,50,false,
receptionist_alt_view,0,0,,true,false
ocan.iar.idPrefix,4,0,0,false,
ticklerplus,2,2,100,false,
project_home,2,0,0,true,false
CML_LABS,6,0,0,false,
encounter.custom_cpp_issues,3,0,0,false,
faxKeystore,1,0,0,true,false
util.erx.version,1,0,0,true,false
mcedt.logging.skip,2,2,100,true,false
eform_image,12,0,0,false,
born_sftp_host,0,0,,true,false
db_remove_abandoned_timeout,0,0,,true,false
inboxmnger,2,2,100,false,
OSCAR_LEARNING,1,1,100,false,
db_max_active,0,0,,true,false
default_search_mode,0,0,,true,false
ECHART_VERSIGN_LINE,1,0,0,true,false
cme_js,2,0,0,false,
clinicSatelliteFax,1,0,0,false,
appt_formview,1,1,100,false,
hibernate.show_sql,0,0,,true,false
FORMS_PROMOTEXT,13,3,23,true,false
born_eform_ndds30m,1,0,0,true,false
born_orgid,1,0,0,false,
WKHTMLTOPDF_COMMAND,1,0,0,true,false
INTEGRATOR_USER,1,0,0,false,
ENABLE_PREVENTION_BILLING,0,0,,true,false
util.erx.clinic_password,2,0,0,true,false
IMMUNIZATION_IN_PREVENTION,0,0,,true,true
eform_fax_enabled,1,1,100,true,false
oscar_myoscar_sync_component_url,0,0,,true,false
ONEDT_SENT,2,0,0,true,false
MY_DRUGREF_URL,2,0,0,false,
clinic_no,4,0,0,true,false
HL7_RECEIVING_FACILITY,1,0,0,false,
born18m_eform_rourke,6,0,0,true,false
login_max_failed_times,2,0,0,true,false
refresh.encounterLayout.jsp,0,0,,true,false
disable.patientList.tab.recent,1,1,100,false,
CONSULTATION_PATIENT_WILL_BOOK,0,0,,true,false
referral_menu,0,0,,true,false
pdfLabelMRP,1,0,0,false,
caisi.search.workflow,0,0,,true,true
eaaps.ws.pass,1,0,0,false,
INCOMINGDOCUMENT_DIR,2,0,0,true,false
DEFAULT_PHS_PROVIDER,2,1,50,false,
CASELOAD_DEFAULT_ALL_PROVIDERS,0,0,,true,false
cr_security,1,1,100,true,false
showSexualHealthLabel,0,0,,true,false
email.protocol,0,0,,true,false
spire_download_dir,1,0,0,true,false
form_record_path,2,0,0,false,
WORKFLOW_DS_DIRECTORY,2,0,0,false,
db_uri,2,0,0,true,false
ldap.url,1,0,0,true,false
HL7_SENDING_APPLICATION,1,0,0,false,
born18m_sftp_port,0,0,,true,false
tickler_email_from_address,1,0,0,false,
drug_allergy_interaction_warnings,1,1,100,false,
ENCOUNTER_TIME_MANDATORY,0,0,,true,false
rma_enabled,0,0,,true,false
invoice_reports.print.hide_name,0,0,,true,false
mcedt.keystore.pass,2,0,0,true,false
AdtA09Handler.CHECK_IN_LATE_ALLOWANCE,0,0,,true,false
E2E_DIFF_DAYS,1,0,0,false,
mydrugref_id,1,0,0,false,
oscar_port,3,0,0,true,false
DOC_FORWARD,1,0,0,true,false
invoice_due_date,4,2,50,false,
ONTARIO_MD_INCOMINGREQUESTOR,2,1,50,false,
appt_reminder_mime,1,0,0,false,
resource_base_url,0,0,,true,false
CONSULTATION_AUTO_INCLUDE_MEDICATIONS,0,0,,true,true
hcv.service.user,1,0,0,true,false
appointment_locking_timeout,0,0,,true,false
redirectstudysite_default_password,0,0,,true,false
oscarClinicDefaultProgram,1,0,0,false,
backup_path,0,0,,true,false
showPrimaryCarePhysicianCheck,1,1,100,false,
born_env,1,0,0,true,false
MY_OSCAR_EXCHANGE_INTERVAL,0,0,,true,false
clinicSatelliteProvince,1,0,0,false,
VMSTAT_LOGGING_PERIOD,1,0,0,true,false
hsfo2.loginSiteCode,3,0,0,false,
tickler_edit_enabled,1,1,100,true,false
CBI_WS_USERNAME,1,0,0,true,false
workflow_enhance,2,2,100,true,false
hsfo2.loginPassword,1,0,0,false,
QR_CODE_ENABLED_PROVIDER_DEFAULT,1,1,100,true,false
ONEDT_ARCHIVE,1,0,0,true,false
dataCenterId,11,0,0,true,false
OMD_HRM_AUTH_KEY_FILENAME,1,0,0,true,false
RXFAX,0,0,,true,true
msp_error_codes,5,2,40,false,
log_accesses_of_client,1,1,100,false,
db_password,4,0,0,true,false
OLIS_SENDING_APPLICATION,1,0,0,false,
AUTO_GENERATE_PROVIDER_NO,1,1,100,true,false
displayNotesOnScheduleScreen,0,0,,true,false
ALLOW_UPDATE_DOCUMENT_CONTENT,1,1,100,true,false
oscar.measurements.hl7.password,1,0,0,false,
mcedt.keystore.user,2,0,0,true,false
faxLogo,0,0,,true,false
rx.default_instruction,1,0,0,false,
form_intake_program_cash_fid,1,0,0,true,false
use_lab_clientreference,2,2,100,true,false
HL7_A04_TRANSPORT_ADDR,0,0,,true,false
ws_endpoint_url_base,0,0,,true,false
db_driver,2,0,0,true,false
WKHTMLTOPDF_ARGS,1,0,0,true,false
login_local_ip,3,3,100,true,false
INTEGRATOR_FORCE_FULL,1,1,100,true,true
hcv.service.pass,1,0,0,true,false
hsfo_job_run_as_provider,2,0,0,true,false
olis_ssl_keystore,1,0,0,false,
hsfo2.xmlVersionDate,1,0,0,false,
born_eform_sumrptmarkers,1,0,0,true,false
shared_outcomes_dashboard_send_url,1,0,0,false,
USE_CAISI_LOGO,0,0,,true,true
indivica_hc_read_enabled,0,0,,true,false
born18m_env,1,0,0,true,false
encounter.empty_new_note,3,3,100,false,
vendorId,3,0,0,true,false
born18m_sftp_password,0,0,,true,false
AUTO_FILE_LABS,3,0,0,false,
born_eform_ndds1m2m,1,0,0,true,false
allergies.include_ahfs_class_in_results,1,0,0,false,
faxURI,1,0,0,true,false
born_eform_ndds3y,1,0,0,true,false
specialencounter,2,2,100,false,
born_sftp_port,0,0,,true,false
FILTER_ON_FACILITY,10,10,100,true,false
OMD_HRM_REMOTE_DIR,1,0,0,true,false
email.password,0,0,,true,false
password.pastPasswordsToNotUse,1,0,0,true,false
invoice_head_logo_doctype,1,0,0,true,false
OMD_HRM_IP,1,0,0,true,false
born_eform_rourke,1,0,0,true,false
demographicExt,2,1,50,false,
demo_uhip_status,2,0,0,false,
born_scheduler_job_run_as_provider,1,0,0,true,false
TMP_DIR,8,0,0,false,
oscarMeasurements.orderGroupById,2,2,100,true,false
allergies.flat_results,1,1,100,false,
TA_FORWARD,1,0,0,true,false
TELEPLAN_URL,1,0,0,false,
RX3,2,1,50,true,true
ORGROOT,1,0,0,false,
orn_labreqver,1,0,0,true,false
prenatal_screening_eform_group,0,0,,true,false
RENAL_DOSING_DS,0,0,,true,true
E2E_URL,1,0,0,false,
mymeds_job_run_as_provider,1,0,0,true,false
allergies.search_right_wildcard_only,1,0,0,false,
EA_FORWORD,0,0,,true,false
hcv.service.conformanceKey,1,0,0,true,false
clinicaid_instance_name,1,0,0,true,false
COUNSELING_CODES,1,0,0,false,
EMERALD_HL7_A04_TRANSPORT_TASK,1,1,100,false,
caisi,5,3,60,false,
CMESort,3,0,0,true,false
clinicaid_domain,2,0,0,true,false
RA_FORWORD,1,0,0,true,false
DEBUG.PREVENTION,1,1,100,false,
clientdropbox,2,2,100,true,false
born_eform_ndds5y,1,0,0,true,false
INTEGRATOR_COMPRESSION_ENABLED,1,1,100,true,false
billing_template_file,1,0,0,false,
skip_postal_code_validation,0,0,,true,false
pathnet_password,1,0,0,false,
olis_polling_facility,1,0,0,false,
IS_PIN_ENCRYPTED,1,1,100,true,false
INACTIVITY_LIMIT_MINS,1,0,0,false,
PREVENTION_FILE,3,0,0,false,
CDM_ALERTS,1,0,0,false,
print.useCurrentProgramInfoInHeader,1,1,100,true,false
surveillance_config_file,1,0,0,false,
isNewONbilling,3,3,100,true,true
CLINIC_LOGO_FILE,1,0,0,false,
OMD_directory,1,0,0,false,
ALT_DISCHARGE_REASON,0,0,,true,false
born_eform_ndds4m,1,0,0,true,false
hcv.type,1,0,0,true,false
mcedt.service.designated.ids,1,0,0,true,false
born_author_oid,1,0,0,false,
eaaps.debug,1,1,100,false,
born_eform_ndds4y,1,0,0,true,false
orn.default_mrp,2,0,0,false,
consultation_dynamic_labelling_enabled,0,0,,true,false
TOMCAT_KEYSTORE_PASSWORD,3,0,0,true,false
INTEGRATOR_LOCAL_STORE,11,11,100,false,
CONSULTATION_APPOINTMENT_INSTRUCTIONS_LOOKUP,1,1,100,true,true
CBI_JOB_INTERVAL,0,0,,true,false
DOCUMENT_DOWNLOAD_METHOD,0,0,,true,false
eaaps.user,1,0,0,false,
drugref_route,0,0,,true,false
eform_signature_enabled,1,1,100,true,false
scheduleSiteID,1,0,0,false,
pdfFORMDIR,3,0,0,false,
rx.policy,1,0,0,false,
born_sftp_password,0,0,,true,false
hl7_a04_fail_dir,1,0,0,true,false
program,2,2,100,true,true
ontariomd_cds_diabetes_link,1,0,0,true,false
OMD_downloads,2,0,0,false,
ckd_notification_receiver,1,0,0,false,
new_label_print,0,0,,true,false
SINGLE_PAGE_CHART,0,0,,true,false
hcv.service.id,1,0,0,true,false
visittype,0,0,,true,false
seconds_till_considered_stale,1,0,0,true,false
db_remove_abandoned,0,0,,true,true
hsfo.loginPassword,1,0,0,false,
QUATRO_SHELTER,1,0,0,false,
shared_outcomes_dashboard_key,1,0,0,false,
ModuleNames,2,2,100,false,
PREVENTION,0,0,,true,true
RX_ALLERGY_CHECKING,1,1,100,true,true
new_flowsheet_enabled,1,1,100,true,false
clinicSatellitePostal,1,0,0,false,
email.username,0,0,,true,false
db_name,2,0,0,true,false
warnOnDeleteBill,0,0,,true,false
db_log_abandoned,0,0,,true,true
util.erx.oscarRx_sso_url,1,0,0,false,
phoneprefix,0,0,,true,false
ONEDT_INBOX,6,0,0,true,false
hl7_a04_build_dir,1,0,0,true,false
appt_formTbl,0,0,,true,false
olis_returned_cert,2,1,50,false,
IGNORE_PASSWORD_REQUIREMENTS,1,1,100,true,false
DATE_FORMAT,1,0,0,true,false
ENABLE_CONFORMANCE_ONLY_FEATURES,2,2,100,true,false
surveillance_directory,2,0,0,false,
cobalt,0,0,,true,false
appt_reminder_template,1,0,0,false,
lab_req_include_chartno,0,0,,true,false
password_group_lower_chars,0,0,,true,false
NEW_CONTACTS_UI_EXTERNAL_CONTACT,0,0,,true,false
eaaps.enabled,1,1,100,true,false
db_max_idle,0,0,,true,false
form_intake_program_access_fid,1,0,0,true,false
lab.other_id_matching,1,0,0,false,
myOSCAR.url,1,0,0,true,false
email.host,0,0,,true,false
oscarMeasurement_css_download_method,0,0,,true,false
HL7_COMPLETED_DIR,2,1,50,false,
rx.search_right_wildcard_only,1,0,0,false,
OMD_HRM_USER,1,0,0,true,false
CBI_REMINDER_WINDOW,0,0,,true,false
PATHNET_LABS,6,0,0,false,
rx_fax_enabled,1,1,100,true,false
label.gap,0,0,,true,false
born_eform_ndds18m,1,0,0,true,false
ldap.enabled,1,1,100,true,false
visitlocation,0,0,,true,false
clinicSatelliteAddress,1,0,0,false,
CBI_WS_CLIENT_QNAME,1,0,0,true,false
web_service_client.received_timeout_ms,1,0,0,true,false
born18m_sftp_host,0,0,,true,false
TOMCAT_TRUSTSTORE_FILE,3,0,0,true,false
eaaps.knownHosts,1,0,0,false,
TRANSPORTATION_TIME_MANDATORY,0,0,,true,false
sharingcenter.enabled,1,1,100,true,false
pdfLabelApptProvider,1,0,0,false,
BILLING_REVIEW_AUTO_PAYMENT,0,0,,true,false
tickler_warn_period,0,0,,true,false
showRxChartNo,0,0,,true,false
login_lock,2,2,100,false,
drugref_route_search,0,0,,true,false
CBI_REMIND_ON_UPDATE_DEMOGRAPHIC,0,0,,true,false
ocan.iar.url,1,0,0,false,
mandatory_password_reset,1,1,100,true,true
PGP_KEY,1,0,0,true,false
tickler_email_enabled,2,2,100,true,false
prenatal_screening_abbrv,0,0,,true,false
lab_req_billing_no,4,2,50,false,
hsfo.loginSiteCode,3,0,0,false,
MY_OSCAR,0,0,,true,false
util.erx.vendor,1,0,0,true,false
streethealth,0,0,,true,true
phs_star.program_file,1,0,0,false,
prevention_show_comments,1,1,100,true,false
phs.default_program,1,0,0,false,
tickler_default_assigned_provider,0,0,,true,false
util.erx.webservice_url,2,0,0,true,false
pmm.client.search.outside.of.domain.enabled,0,0,,true,true
CBI_WS_PASSWORD,1,0,0,true,false
MDS_LABS,6,0,0,false,
shared_outcomes_dashboard_clinic_id,2,0,0,false,
printPDF_referring_prac,1,1,100,true,false
maxTmpSave,1,0,0,false,
PAYEE,1,0,0,false,
olis_truststore,1,0,0,false,
olis_keystore,2,0,0,false,
CONSULTATION_AUTO_INCLUDE_ALLERGIES,0,0,,true,true
security.token.expiry,1,0,0,false,
faxIdentifier,1,0,0,true,false
fax_clinic_id,1,0,0,false,
INTEGRATOR_UPDATE_PERIOD,0,0,,true,false
clinicSatelliteName,2,1,50,false,
Epsilon_LABS,4,0,0,false,
ENABLE_EDIT_APPT_STATUS,2,0,0,false,
util.erx.clinic_training_mode,2,2,100,true,false
password_group_upper_chars,0,0,,true,false
showEmploymentStatus,1,1,100,false,
EMERALD_HL7_A04_TRANSPORT_PORT,1,0,0,false,
rx_signature_enabled,1,1,100,true,true
ocan.iar.user,1,0,0,false,
INCOMINGDOCUMENT_RECYCLEBIN,2,2,100,true,true
program_domain.show_echart,1,1,100,false,
useProgramLocation,1,1,100,false,
refresh.appointmentprovideradminday.jsp,0,0,,true,false
consultation_fax_enabled,1,1,100,true,false
shared_outcomes_dashboard_url,1,0,0,false,
born_orgcode,2,0,0,true,false
enable_rx_custom_methodone_suboxone,0,0,,true,false
born18m_sftp_remote_dir,1,0,0,true,false
COMMUNITY_ISSUE_CODETYPE,3,2,66,true,false
OSCAR_START_TIME,1,0,0,false,
oscar.measurements.hl7.datetime.format,1,0,0,false,
HL7_A04_TRANSPORT_PORT,0,0,,true,false
multisites,1,1,100,false,
wl_default_issue,1,1,100,true,false
caisi.cds.restrict_by_program_domain,1,1,100,true,false
oscarMeasurement_css,0,0,,true,false
OMD_HRM_PORT,1,0,0,true,false
K2A_URL,1,0,0,false,
born18m_eform_ndds,6,0,0,true,false
NEW_BC_TELEPLAN,0,0,,true,true
indivica_rich_text_letter_enabled,1,1,100,true,false
olis_ssl_keystore_password,2,0,0,false,
CONSULT_PRINT_ALT,1,1,100,false,
TESTING,0,0,,true,true
hsfo2.isTest,1,1,100,false,
SUPERUSER,0,0,,true,false
HL7_SENDING_FACILITY,1,0,0,false,
